objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
lcc_H2,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H2.jpg,/objects/small/lcc_H2.jpg,/objects/thumbs/lcc_H2.jpg,Digitalización del folio H2 del LCC,
lcc_H3,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H3.jpg,/objects/small/lcc_H3.jpg,/objects/thumbs/lcc_H3.jpg,Digitalización del folio H3 del LCC,
lcc_H4,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H4.jpg,/objects/small/lcc_H4.jpg,/objects/thumbs/lcc_H4.jpg,Digitalización del folio H4 del LCC,
lcc_H5,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H5.jpg,/objects/small/lcc_H5.jpg,/objects/thumbs/lcc_H5.jpg,Digitalización del folio H5 del LCC,
lcc_H6,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H6.jpg,/objects/small/lcc_H6.jpg,/objects/thumbs/lcc_H6.jpg,Digitalización del folio H6 del LCC,
lcc_H7,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H7.jpg,/objects/small/lcc_H7.jpg,/objects/thumbs/lcc_H7.jpg,Digitalización del folio H7 del LCC,
lcc_H8,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_H8.jpg,/objects/small/lcc_H8.jpg,/objects/thumbs/lcc_H8.jpg,Digitalización del folio H8 del LCC,
lcc_I1,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_I1.jpg,/objects/small/lcc_I1.jpg,/objects/thumbs/lcc_I1.jpg,Digitalización del folio I1 del LCC,
lcc_I2,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_I2.jpg,/objects/small/lcc_I2.jpg,/objects/thumbs/lcc_I2.jpg,Digitalización del folio I2 del LCC,
lcc_I3,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_I3.jpg,/objects/small/lcc_I3.jpg,/objects/thumbs/lcc_I3.jpg,Digitalización del folio I3 del LCC,
lcc_I4,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_I4.jpg,/objects/small/lcc_I4.jpg,/objects/thumbs/lcc_I4.jpg,Digitalización del folio I4 del LCC,
lcc_I5,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_I5.jpg,/objects/small/lcc_I5.jpg,/objects/thumbs/lcc_I5.jpg,Digitalización del folio I5 del LCC,
lcc_I6,lcc_cordoba,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_I6.jpg,/objects/small/lcc_I6.jpg,/objects/thumbs/lcc_I6.jpg,Digitalización del folio I6 del LCC,
